TABLE,RESPONSE,GROUP,GROUP WEIGHTED %,GROUP WEIGHTED #,WEIGHTED SAMPLE SIZE (#),UNWEIGHTED SAMPLE SIZE (#)
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,NOVA SCOTIA %,39.71997146,317.7597717,800,800
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,NOVA SCOTIA %,59.85464478,478.8371582,800,800
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,NOVA SCOTIA %,0.425383758,3.403070064,800,800
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,REGION: Halifax,41.71867226,141.1710202,338.3880947,361
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,REGION: Halifax,57.57751227,194.8354467,338.3880947,361
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,REGION: Halifax,0.703815475,2.381627777,338.3880947,361
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,REGION: Cape Breton,47.23534635,55.89986288,118.3432899,95
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,REGION: Cape Breton,51.90153561,61.42198478,118.3432899,95
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,REGION: Cape Breton,0.863118042,1.021442287,118.3432899,95
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,REGION: Rest of mainland,35.15873087,120.6888887,343.2686154,344
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,REGION: Rest of mainland,64.84126913,222.5797267,343.2686154,344
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,REGION: Rest of mainland,0,0,343.2686154,344
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,GENDER: M,35.07245718,133.8601277,381.6673778,377
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,GENDER: M,64.51898869,246.2479324,381.6673778,377
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,GENDER: M,0.408554132,1.559317842,381.6673778,377
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,GENDER: F,43.96014901,183.8996441,418.3326222,423
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,GENDER: F,55.59911266,232.5892259,418.3326222,423
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Dont know/No answer,GENDER: F,0.440738332,1.843752222,418.3326222,423
TABLE AD1:   Did you get the flu vaccination for the current flu season?,Yes,HH INCOME: L.T. $50K,39.27883207,106.5706356,271.3182393,282
TABLE AD1:   Did you get the flu vaccination for the current flu season?,No,HH INCOME: L.T. $50K,60.72116793,164.7476037,271.3182393,282
